English,Japanese
genius,天才
credit,信用
debt,借金，負債
resource,資源，資産
therapy,治療
glance,一目見る／一目
storage,保管
academic,学術の，大学の
permit,を許可する
concern,心配する，に関係する
strain,張る
role,役割
nowhere,どこにも
recent,最近の，新しい
mate,友達，仲間
distinguish,を区別する
sophisticated,洗練された
upset,気持ちが動揺した，ひっくり返す
disturb,を阻害する，(人の)邪魔をする
invest,に投資する
intense,激しい，熱心な
retire,退職する，引退する
wildlife,野生動物
polite,礼儀正しい
entertain,を楽しませる
competition,競争
inquiry,問い合わせ，質問
period,期間
bind,縛りつける，束ねる
certain,ある，確信している
passenger,乗客
behavior,振る舞い，態度
meanwhile,一方で，他方で
earn,稼ぐ
enter,入る
complex,複雑な，複合の
moreover,さらに，その上
structure,構造，建造物
annoy,いらだたせる
direction,方向，方角
influence,影響／影響を及ぼす
rapidly,素早く
detail,詳細
culture,文化，教養
prior,優先の，前の
fire,首にする，火をつける／火，火事
assessment,評価，査定
engaged,に従事して，忙しくして
regret,後悔する／後悔，遺憾
excuse,言い訳／を許す
court,裁判所，中庭
solve,を解決する
threaten,を脅かす
enable,に可能にさせる
unfortunately,残念なことに，不幸にも
representation,表現
procedure,手続き，手順
expectation,期待，予想
asset,資産
dump,投げ捨てる
citizen,市民，国民
occupation,職業
restore,を元に戻す，を修復する
significance,重要性
flow,流れる
failure,失敗
earnings,収益，稼ぎ
disease,病気，疾患
peer,同僚，仲間
strategy,戦略
remarkable,目立った
heel,かかと
definitely,絶対に，確実に
ordinary,ふつうの，いつもの
isolate,を孤立させる，隔離する
competitive,競争力のある，競争による
progress,進歩，前進
typical,典型的な
compete,競争する
assault,暴行，攻撃
conviction,信念
terrible,ひどい，恐ろしい
bill,請求書
pain,痛み，苦痛
emphasize,を強調する，力説する
weather,天候，天気
immigrant,移民
interpret,を解釈する，受け取る
thick,厚い
merchant,商人
physics,物理学
trigger,引き金
status,状態，身分
worth,の価値がある，(～するに)値する
relation,関係性
later,後に
political,政治の
truth,真実
partly,部分的に
observe,を観察する
stream,流れ
oppose,反対する
quite,かなり
conscious,意識して
intend,意図する
operation,操作，作用
recommend,を推薦する，を勧める
feature,特徴／を目玉とする
consideration,考慮，考察
diet,食事，食事療法
horror,恐怖
population,人口，国民
necessarily,必然的に
agree,同意する
whether,どちらか
analysis,分析
conflict,対立，争い
extreme,極端な
wherever,どこでも
source,情報源，原因
objective,目標，目的地
rural,田舎の
headline,見出し，表題
analyst,分析者
sign,標識，印，合図
clue,手がかり，糸口
controversial,議論の的になる，論争上の
realize,だとわかる，実現する
surround,を取り囲む，を包囲する
commission,手数料，委任状
seek,求める，捜し出す
independent,独立した
proposed,提案した
international,国際的な
several,幾つかの
theory,理論，学説
fellow,仲間
elderly,年配の
extension,拡張，延長
proper,適切な，ふさわしい
enhance,強調する，(さらに)高める
beyond,～を越えたところに
hear from,から便りがある，連絡をもらう
due,期限の，納期の
existing,既存の
expand,拡大する，広がる
wrong,間違い，誤った
rebel,反逆者
suffer,を患う，苦しむ
within,以内で
taste,味／な味がする
democrat,民主主義者
personally,個人的に，本人自ら
throughout,至るところに，終始
preserve,保存／を保存する
intelligent,かしこい，知能の高い
slide,滑る
popular,人気のある
murder,殺人
attend,出席する，付き添う
constantly,常に
drift,漂流
result,結果
priority,優先度，優先権
joint,継目，関節
viewer,観察者，視聴者
satellite,衛星
distant,遠く離れた
delivery,配達
anxious,心配して，不安な
towards,の方へ
employee,従業員
significant,重要な
particular,特定の
pick up,拾う
criticism,批判
appear,現れる
permission,許可，認可
virus,ウイルス
deny,を否定する
valuable,貴重な，価値のある
comprehensive,包括的な，理解力のある
till,まで
properly,適切に
vulnerable,傷つきやすい
directly,直接，直接的に
occupy,占める
curious,好奇心が強い
vary,多様化する，異なる
stare,じっと見つめる
decade,10年間
armed,武装した
seem,の様に見える，思われる
fate,運命，宿命
convince,を納得させる
criminal,犯罪の
stable,安定した
naked,裸の
Jewish,ユダヤ人
senate,上院
hide,隠す，隠れる
recovery,回復
bond,拘束，束縛
portrait,肖像画
intervention,介在，仲裁
consistent,一貫した，矛盾のない
investigator,捜査官
normally,通常は，普通に
conclude,を締めくくる，終える
well-known,よく知られた，有名な
development,発展，発達，開発
desire,願望／切望する
probably,おそらく
respond,反応する，と返答する
involvement,関与，関わり合い
minister,大臣，牧師
patch,当て布，布切れ
chairman,会長
ethnic,民族の，民族特有の
lap,ひざ
refer,を参考にする，参照する
repair,を修理する，修繕する
current,現在の，現行の
obviously,明らかに，明白に
ceiling,天井
philosopher,哲学者
suicide,自殺
social,社会の
potential,潜在的な
sum,合計
draw,描く，引っ張る
rough,ごつごつした，粗い
fundamental,基本的な，基礎の
association,協会，連合
yield,産出する，生ずる
politician,政治家
department,部門
palm,手のひら
phenomenon,現象
admit,を認める，入ることを許す
critical,極めて重要な，批判的な
throat,のど
adapt,に適合させる
largely,主として
belong,に属する
attempt,試み
impress,感銘を与える
submit,を提出する，に服従する
bored,退屈した
electric,電気の
civilized,発達した文明をもつ，教養の高い
combat,戦闘
destruction,破壊
ally,と同盟する
similarly,同様に
complete,完全な，全部の
complicated,複雑な
mad,狂った
hate,ひどく嫌う
urban,都会の
reputation,評判
phase,段階
philosophy,哲学
shooting,撮影，射撃
include,を含む
medium,中間の
contemporary,現在の，現代の
jury,陪審員
huge,巨大な，莫大な
die,死ぬ
examine,を検査する
element,要素，元素
mainly,主に，もっぱら
success,成功
exist,存在する，実在する
gentle,穏やかな，物柔らかな
occasion,特定の時，行事，祭典
accompany,に付き添う，に同行する
virtually,実質的に
withdraw,を撤回する，引き下がる/引き出す
leisure,余暇
representative,代表者，代理人
mass,塊，大部分
honest,正直な
imply,をほのめかす
mixture,混合物
aware,気づいている，知っている
device,装置，仕掛け
deputy,代理
smell,においがする
overall,全体的な，全部の
custom,習慣
roll,転がる
exposure,暴露，さらすこと
term,期間，専門用語
industry,産業
otherwise,さもなければ
electronic,電子の
proud,自慢に思って，誇らしげな
task,仕事
concentration,集中，専念
debate,討論
suggest,を提案する
derive,を引き出す
lawn,芝生
compose,を構成する，作曲する
react,反応する
proportion,比率，割合
confident,自信のある
manufacturing,製造している
multiple,掛け算する
chest,たんす，チェスト
authority,権威，権力
creature,生き物
wear,身につけている
swear,誓う
survival,生存
attractive,魅力的な，興味をそそる
union,統合，一致
prisoner,囚人
sight,見ること，視力
expose,明らかにする
therefore,それゆえ，だから
prosecutor,検察官
present,現在の，出席して
publication,出版物
dull,面白みのない，鈍い
aspect,局面，側面，表情
advice,助言
fair,公平な
via,～経由で
mayor,市長，町長
lose,失う
judgement,判断
observer,観察者
tongue,言葉，舌
defendant,被告人
handle,を手で扱う，に対処する／取っ手
component,成分
declare,を宣言する，公表する
squeeze,絞る，押しつぶす
maintain,を維持する
passage,一節
bitter,苦い
whom,誰を
split,割る，裂く
capable,可能性がある，才能のある
habit,習慣
concrete,具体的な
remaining,残りの
depend,依存する
dependent,依存している
so that,とても…なので
argue,だと主張する，感情的に論じる
consequence,結果，影響
outcome,結果，成果
heritage,遺産
ban,を禁止する／禁止
master,主人，支配人
biological,生物学上の
voter,投票者
landscape,風景，眺め
moment,瞬間，瞬時
occasionally,時折，たまに
practical,実用的な
wipe,を拭く
tradition,伝統
affair,事柄
reward,褒美，報酬
award,賞
purpose,目的，目標
gather,を集める
respect,尊敬
advertise,宣伝する，広告する
eventually,結局は，やがて
approval,承認
reach,到着する
afraid,心配して，恐れて
commercial,商業の
harmful,有害な
suggestion,提案
contrast,対照
coal,石炭
headquarters,本部
absorb,を吸収する
proposal,提案
consumer,消費者
historic,由緒のある，歴史に残る
pursue,追い求める，追跡する
immediate,即座の
knee,膝
apply,適用する
existence,存在
dismiss,を退出させる
regional,地方の
war,戦争
factor,要因
constant,絶え間ない，一定の
encourage,を勇気づける，励ます
prayer,祈り，礼拝
forward,前方へ
principle,原理
supporter,支援者
stimulate,を刺激する，元気づける
address,住所
accept,受け入れる
increase,を増やす，増大させる
remind,に思い出させる，に気付かせる
proof,証拠
appropriate,適当な
deserve,値する
establishment,設立
definition,定義
economic,経済の
introduce,紹介する
convey,伝える，運ぶ
partnership,共同，提携
attorney,弁護士，代理人
index,索引
circumstance,状況，環境
conversation,会話
poet,詩人
craft,工芸，技能
spill,をこぼす
reject,拒絶する，断る
province,州
admission,入場，入場料
consumption,消費，消費高
bishop,司教
fuel,燃料
guess,推測する
economy,経済，節約
construct,を組み立てる，建設する
assistance,支援，手伝い
implement,実施する／道具，手段
peak,頂上
sculpture,彫刻
various,様々な
symptom,症状
tribe,部族
agriculture,農業
dealer,販売業者
unlike,と異なって，とは違って
invent,を発明する
treaty,条約
trust,信頼，信用
instruction,指示，指導
comedy,喜劇
absolutely,絶対に
alliance,同盟，協定
law,法律
evil,邪悪な
chamber,小部屋
suppose,だと思う，と仮定する
develop,を発達させる，を開発する
remember,覚えている，を思い出す
entitle,と題する，権利を与える
significantly,かなり
confidence,自信，信頼
national,国の，国民の
whenever,する時はいつでも
rush,突進する，急ぐ，急ぎ
female,雌の，女性の
identity,同一性
independence,独立，自立
match,試合
fix,固定する
cooperation,協力
coalition,連立，連合
detect,を検出する，を感知する
interior,内部の
alter,を変える
retirement,退職，引退
sensitive,敏感な
reply,返答する
opposition,反対，対立
export,を輸出する
psychologist,心理学者
pension,年金
correspondent,特派員
duty,職務，関税
attach,を貼り付ける
personality,人格，性格
fully,十分に，完全に
scheme,計画，案
install,導入する
ingredient,材料，原料，成分
flood,洪水
folk,人々
election,選挙
despite,にも関わらず
revolution,革命
promotion,昇進，進級
industrial,産業の
dramatic,劇的な
lean,傾く，寄りかかる
exhibition,展示
compromise,妥協，和解
anxiety,心配，不安
relevant,関連のある，適切な
observation,観察
manager,部長，支配人
defeat,負かす，打ち破る
surgery,手術，外科
reaction,反応
abandon,を捨て去る
crisis,危機，難局
comfort,快適さ／慰める
wise,賢い
sustain,保持する，続けてする
hire,雇う
slip,滑る
entirely,完全に，全く
totally,完全に，全く
extensive,広範な
represent,を表す，を代表する
receive,を受理する，受け取る
employ,雇う
hang,つるす，掛ける
context,文脈
famous,有名な
assumption,想定，仮説
charge,非難，料金，管理／に請求する
civilization,文明
aid,援助／助ける
poll,投票
scientific,科学の
pleasure,楽しみ，喜び
dislike,嫌がる，嫌い
environment,環境
girlfriend,女友達
coast,海岸，沿岸地域
evolution,進化，発展
recall,呼び戻す，思い出す
agreement,同意
county,州
nation,国家
negotiate,交渉する
depth,深さ
musician,音楽家
threat,脅威
transform,を変える
method,方法
jail,刑務所，拘置所
university,大学
primitive,原始的な
emerge,現れる
physical,身体の，肉体の
FALSE,誤った
highlight,目立たせる，最も明るい部分
estimate,を推定する，評価する
reasonable,理性のある
efficient,効率のいい
initiative,主導権，独創力
recommendation,推薦
according,による，準じて
implication,含み，裏の意味
seldom,めったに～しない
pregnant,妊娠している
society,社会
breath,息，呼吸
employer,雇用者
advertising,広告
equipment,装置，設備
universe,宇宙
addition,追加
visible,目に見える
opinion,意見，考え
decline,断る，拒否する
male,男性，雄
somehow,どうにか
suit,適合する
latter,後者の，後半の
merely,単に
appearance,出現，外見
fairly,かなり，公平に
chapter,章，区切り
nearby,近くの
settle,決着させる，解決する
contribute,に寄付する，捧げる
foreign,外国の
extend,延びる，延長する
policy,政策，方針
cope,対処する
religion,宗教，信仰
conclusion,結論
treatment,扱い，処理
alternative,代替物，代案
reverse,反対の，裏側の
former,前の
victim,犠牲者
distinction,区別，相違
lab,研究室
literary,文学の
twin,ふたご
patient,我慢強い，患者
state,状態
forever,永遠に
propose,を提案する，申し出る
pleasant,楽しい
content,中身，内容，目次
order,命令
superior,より優れた
pretend,のふりをする
unique,他に類を見ない，唯一の
preparation,準備
afford,余裕がある
congress,会議
nuclear,核の
regarding,に関して
party,政党
finance,財政
financial,財政の
intelligently,かしこく
describe,を述べる，描写する
operate,操作する
embrace,を抱きしめる，を抱擁する
resistance,抵抗
dozen,12の
corridor,廊下
background,背景
strike,叩く，打つ
educate,教育する，訓練する
fabric,織物
clerk,事務員，社員
evidence,証拠
concentrate,に集中する
funding,資金調達
extraordinary,普通でない，異常な
civilian,民間人，一般市民
history,歴史
maintenance,持続，保全
faith,信頼，信用
alike,よく似た
grammar,文法
vehicle,乗り物，車
remain,のままである，残る
benefit,利益／に利益をもたらす
length,長さ
carbon,炭素
useful,役に立つ
fat,太った
provision,供給，支給
subject,教科，主題
region,地域
boundary,境界
adopt,を自分のものにする，を取り入れる
wisdom,知恵，賢明さ
express,表現する，を言い表す
brick,れんが
creation,創造
greet,を出迎える，に挨拶する
block,を妨げる
escape,逃れる，脱走する
obtain,を手に入れる，を獲得する
gradually,次第に，だんだんに
obvious,明白な
innocent,罪のない，無罪の
distribution,分布，配分
exactly,正確に
continent,大陸
arms,武器
compound,調合する
public,公共の
awareness,気づき
remove,を取り除く，を除去する
opponent,相手
neighborhood,近所
while,一方で
council,議会，会議
suitable,適した，好都合な
secretary,秘書
participate,参加する
politics,政治
accurate,正確な，的確な
drug,麻薬，薬
strange,奇妙な，異常な
conventional,従来の
organization,組織，団体，協会
desperate,やけくその
moral,道徳の，道徳的な
intellectual,知的な
emphasis,強調
particularly,特に，とりわけ
founder,創設者
consider,について考える，だと見なす
emotional,感情の，情緒の
infection,感染
identify,を見分ける
demand,要求，需要／を要求する
given,与えられた
transition,遷移，変遷
author,著者
considerable,かなりの，重要な
graduate,を卒業する
conduct,行為
crowd,群衆
nature,自然
broad,広い
physician,医師，内科医
persuade,を説得する
achievement,達成
witness,目撃者，証人／を目撃する
face,直面する／顔
focus,焦点
federal,連邦の
associate,結びつけて考える，賛同する
aim,ねらいをつける
deficit,赤字
activist,行動主義者
primary,最初の
joy,喜び，歓喜
inspector,検査官，監査人
actually,実際に，現実に
previous,前の
variation,変化
stupid,馬鹿な，愚かな
poverty,貧困，貧乏
appeal,訴える，告発する
substance,物質，実態
regulation,規制，規定
bare,裸の
awake,目を覚ましている
suspect,疑う，だと思う
battery,電池
income,所得
fault,欠点，短所
tissue,組織
stranger,他人
expensive,高価な，費用のかかる
difference,違い，差分
percentage,割合
own,自身の
brief,短い，短時間の
useless,役に立たない，むだな
predict,を予想する，を予測する
personnel,人事，職員
sudden,突然の
transfer,を移す
solid,固い，固形の
mess,混乱，錯乱
flee,逃げる
drain,排出させる，排水をする
remark,ことば
lecture,講義
resolution,解決，決意
desert,砂漠
advocate,提唱する
bet,賭ける
characteristic,特有の，独特の
education,教育
whatever,なんでも
cause,原因／の原因となる
commitment,約束，委託
supply,供給
temporary,一時的な
involve,を含む，を巻き込む
meal,食事
replace,を取り換える，を交換する
expression,表現
investor,投資家
humanity,人間，人間性
majority,大多数
possess,を所有する
contribution,寄付，貢献
frequently,頻繁に
shrug,肩をすくめる
operator,操作者
slightly,わずかに，少し
interpretation,解釈，説明
rely,頼る
reduction,削減，減少
whole,全部の
purchase,を購入する／購入
summit,頂上
hell,地獄
typically,典型的に
admire,を賞賛する
literature,文学
issue,問題，（雑誌などの）号
rent,家賃
widely,広範囲に
satisfaction,満足
worry,心配させる，心配する
rub,こする，さする
completely,完全に，全く
disappear,消える，見えなくなる
inflation,膨張
maybe,たぶん，おそらく
calculate,計算する
determine,を決める
mexican,メキシコの
crop,収穫物，作物
prosecution,起訴，告訴
toe,つま先，足の指
seize,つかむ
imagination,想像
governor,知事
curiosity,好奇心
rise,上がる
tail,尾
except,を除いて
lie,横たわる
string,紐，糸
appoint,任命する，指定する
military,軍隊の
conference,会議
explanation,説明
atmosphere,雰囲気
toward,向かって，のほうへ
convenient,都合がよい，便利な
examination,試験
sort,種類
strongly,強く，激しく
fear,を恐れる，恐がる／恐れ
ability,能力，力量
weight,重さ，体重
exclude,除く
discipline,しつけ，規律
share,分かち合う／分け前
potentially,潜在的に
extent,程度，大きさ
discussion,議論，討論
settlement,移住，定住
enormous,非常に大きい
presence,存在
effective,効果的な
rapid,急速な
basis,土台，根拠
commander,司令官
radical,急進的な，抜本的な
individual,個人の，個々の
journal,日誌，日記
avoid,を避ける，を回避する
stake,くい
possibly,ひょっとすると
violence,暴力，乱暴
likely,起こりそうな
entertainment,娯楽
opposite,反対の，向こう側の
district,地域
domestic,国内の，家庭の
pitch,投げる
historical,歴史上の
bullet,弾丸
revenue,収益，所得
democracy,民主主義
legislation,立法
breast,胸部
actual,現実の
eager,強く望んでいる
possible,可能な
proverb,ことわざ
psychological,心理的な
refugee,難民
origin,起源
transport,を輸送する
notion,考え，意見
initially,最初は
doubt,疑い，疑問
sigh,ため息をつく
laboratory,実験室，研究所
delight,喜び，歓喜
shortly,まもなく
universal,普遍的な，万能の
surely,確かに
labor,労働，労働者
entire,全体の，全部の
blood,血，血液
wonder,かなと思う
arise,起こる，現れる
incorporate,合体させる
mere,単なる
agenda,議題
terror,恐怖
truly,真に，正確に
necessary,必要な
science,科学
favor,親切な行為
recession,不況，後退
aircraft,航空機
prison,刑務所
anniversary,～周年，記念日
possibility,可能性，実現性
sequence,連続
slight,かすかな，わずかの
customer,顧客，お客様
inform,情報を与える，に知らせる
illegal,違法の
investigation,調査
depression,落ち込み，不景気
matter,問題，困ったこと
unless,でない限り
necessity,必要性
supreme,最高の
severe,厳しい，厳格な
bloody,血の
apart,離れて
cast,投げる
airline,航空会社
trading,取引
path,小道
appreciate,感謝する，を高く評価する
crack,裂け目，ひび
hesitate,ためらう
contrary,反対の
depending,依存している
household,家族，世帯
laughter,笑い
teenager,十代
crime,犯罪
frighten,怖がらせる
quarter,四半期
mortgage,抵当，担保
indicate,を指し示す
stroke,打撃
shortage,不足，欠乏
explore,探索する，調査する
property,財産，所有物
freeze,凍る
closely,綿密に
venture,冒険的事業
pretty,かなり
account,銀行口座
internal,内部の
edge,端，縁
environmental,環境の
plenty,たくさん
amendment,修正
fiber,繊維
somewhat,いくぶん，いくらか
restriction,制限
in order to,～するために，～の目的で
not only A but also B,AだけでなくBもまた，Aと同様Bも
a number of,たくさんの，多数の
be likely to,する可能性が高い，しそうになる
end up,最終的に，することになる
publish,を出版する，発行する
expense,費用，出費，犠牲
similar,似ている，類似の
pollution,汚染，汚れ，汚染物
foundation,土台，根拠，設立
compare,を比較する，をたとえる
lead to,に導く，～につながる
furthermore,さらに，その上
more and more,ますます多くの，更に
consume,を消費する，消耗する
employment,雇用，採用
by chance,偶然に，たまたま
until,までに，まで
on the other hand,一方で，他方で
arrest,を逮捕する，捕まえる
betray,を裏切る，をだます
affect,に影響を与える，に作用する
portable,持ち運べる，携帯用の
construction,建設，構造，建造物
convert,を変える，転換する
resident,住民，居住者
provide,を供給する，提供する
metal,金属，合金
currency,通貨，流通
in detail,詳細に，具体的に
in contrast,対照的に，これに対して
for instance,例えば，たとえ…としても
additionally,加えて，さらに，追加で
in response to,に応じて，に反応して
at the same time,同時に，一斉に
preserved,保存された，保管された
be known as,として知られている，として認知されている
analyze,を分析する，分解する
a variety of,いろいろな，さまざまな
sympathy,同情，思いやり
flexibility,しなやかさ，弾力性，柔軟性
manage,何とかうまくやる，管理を行う
reach out,手を延ばす，手を差し出す
for fear of,を恐れて，を怖がって
on behalf of,の代わりに，代わって
on account of,のため，目的の
artificial,人工的な，人造の
prevent A from B,AをBから防ぐ，AをBから保護する
rather than,よりむしろ，ではなくて
measure,措置，測るもの/を測る
be born with,生まれつき，生来の
since then,それ以来，それ以降
turn A into B,AをBに(質的に)変える，AをBに(質的に)転換する
fertilizer,肥料，育成剤
made of,で出来ている，構成されている
make sure,を確かめる，必ず手配する
tolerate,に耐える，寛大に取り扱う
journey,旅，旅行
get along,うまくやる，仲良くやる
keep up with,に遅れず付いていく，遅れないで追随する
cell,細胞，マス目
such as,のような，似たような
annually,毎年の，年一回ずつ
invest in,に投資する，に資本を提供する
embarrass,を恥ずかしがらせる，を恥じさせる
enlarge,を拡大する，を広げる
brilliant,優れた，光り輝く
vote for,に賛成する，に投票する
frequent,頻繁な，しばしば起こる
gravity,重力，引力
rare,まれな，珍しい
decide,決心する，決定する
bank account,銀行口座，貯金口座
locate,見つける，位置を突きとめる
apply to,に適用する，に応用する
politely,丁寧に，礼儀正しく
accidentally,誤って，知らずに
satisfy,を満足させる，を喜ばせる
appointment,予定，約束
luxury,贅沢な/贅沢
replacement,置換，代替
in touch,連絡中，連絡が取れて
celebrate,祝う，祝福する
imitate,模倣する，真似る
assignment,割り当て，配分
instrument,楽器，音楽器具
capable of,ができる，可能で
arrange,整える，を配置する
take after,をまねる，に似る
guilty of,罪を犯して，違法行為をして
work out,練習する，運動する
electricity,電力，電気
composer,作曲，楽曲制作
furniture,家具，調度品
medicine,薬，医薬品
at last,ついに，やっと
sufficient,十分な，足りている
barely,かろうじて，やっと
delete,を削除する，消す
urgent,緊急の，急を要する
generous,気前のよい，寛容な
cruel,残酷な，ひどい
celebration,お祝い，祝典
reflection,反響，反射
whisper,ささやく，を耳打ちする
deposit,お金を預ける，を預金する
apology,謝罪，お詫び
deceive,を欺く，をだます
endure,を我慢する，耐える
disposal,処理，処分
statistics,統計，数字
terminal,終りの，末端の
formation,形成，構成
envelope,封筒，封書
quarrel,喧嘩，口論，言い争い
from time to time,時々，偶に
in demand,需要のある，求められる
stand out,目立つ，すぐれている
in the meantime,とりあえず，それまでは
to some extent,いくらか，ある程度
at any cost,どんな犠牲を払っても，何がなんでも
on the contrary,その反対で，それどころか
lose face,面子を失う，恥をかく
answer for,責任を負う，引き受ける
insist on,するように強く求める，強調する
not always,必ずしもではない，いつもとは限らない
at that time,あの時は，そのとき
in common,共通して，一般的に
be affected by,の影響を受ける，影響される
luckily,幸いなことに，幸運にも
not yet,まだ，今のところ
in response,に応じて，に対応して
have effects on,に影響を与える，に作用する
one day,ある日，いつか
five senses,五感，感覚器官
ankle,足首，くるぶし
related to,に関連する，に関わる
active,活動的な，活気のある
lesser,より少ない，いっそう少ない
immune,免疫の，免疫のある
disorder,無秩序，混乱
mental,精神の，心の
intend to,するつもりである，する意図がある
at present,現在は，今は
make a difference,違いを生む，差をつける
